subj_idx,ns,block_id,stim_id,rt,resp,corr_resp,acc,feedback,FBProb,stim_ctr,delay,early_late,pcor
268,3,8,2,0.6223431,2,2,1,1,0.2,7.0,2,0,4
268,3,8,1,0.4795371,1,1,1,1,0.5,8.0,4,0,6
268,3,8,1,0.5348258,1,1,1,1,0.5,9.0,1,1,7
268,3,8,0,0.5718942,0,0,1,2,0.8,9.0,4,1,8
268,3,8,2,0.6226768,2,2,1,2,0.2,8.0,4,0,5
268,3,8,2,0.7356226,2,2,1,1,0.2,9.0,1,1,6
268,3,8,0,0.6526121,0,0,1,1,0.8,10.0,3,1,9
268,3,8,1,0.5406296,1,1,1,1,0.5,10.0,5,1,8
268,3,8,2,0.5286846,2,2,1,1,0.2,10.0,3,1,7
268,5,9,0,0.5330549,0,0,1,2,0.2,1.0,0,0,0
268,5,9,1,0.8102463,0,0,1,2,0.8,1.0,0,0,0
268,5,9,2,0.8683123,0,2,0,0,0.5,1.0,0,0,0
268,5,9,3,0.987613,0,2,0,0,0.5,1.0,0,0,0
268,5,9,1,0.5424285,0,0,1,2,0.8,2.0,3,-1,1
268,5,9,3,0.8664509,1,2,0,0,0.5,2.0,0,0,0
268,5,9,0,1.0344218,0,0,1,1,0.2,2.0,6,-1,1
268,5,9,2,1.3395752,1,2,0,0,0.5,2.0,0,0,0
268,5,9,4,1.2950804,0,2,0,0,0.2,1.0,0,0,0
268,5,9,0,0.5180732,0,0,1,1,0.2,3.0,3,-1,2
268,5,9,4,0.9066088,1,2,0,0,0.2,2.0,0,0,0
268,5,9,2,0.8800085,2,2,1,2,0.5,3.0,0,0,0
268,5,9,3,0.4070137,2,2,1,2,0.5,3.0,0,0,0
268,5,9,1,0.6407944,0,0,1,1,0.8,3.0,9,-1,2
268,5,9,1,0.7532091,0,0,1,2,0.8,4.0,1,0,3
268,5,9,4,0.6378658,2,2,1,1,0.2,3.0,0,0,0
268,5,9,3,0.8620978,2,2,1,2,0.5,4.0,4,-1,1
268,5,9,2,0.5819867,2,2,1,2,0.5,4.0,6,-1,1
268,5,9,0,0.6004591,0,0,1,1,0.2,4.0,9,0,3
268,5,9,0,0.6033356,0,0,1,1,0.2,5.0,1,0,4
268,5,9,1,0.5575465,0,0,1,1,0.8,5.0,6,0,4
268,5,9,1,0.5774289,0,0,1,2,0.8,6.0,1,0,5
268,5,9,2,0.5481046,2,2,1,2,0.5,5.0,5,-1,2
268,5,9,4,0.4876534,2,2,1,2,0.2,4.0,8,-1,1
268,5,9,3,0.7177117,2,2,1,2,0.5,5.0,8,-1,2
268,5,9,3,0.6352644,2,2,1,2,0.5,6.0,1,0,3
268,5,9,0,0.5402678,0,0,1,1,0.2,6.0,7,0,5
268,5,9,4,0.6087973,2,2,1,1,0.2,5.0,4,-1,2
268,5,9,0,0.5624811,0,0,1,1,0.2,7.0,2,0,6
268,5,9,2,0.5966944,2,2,1,2,0.5,6.0,7,0,3
268,5,9,1,0.5830065,0,0,1,2,0.8,7.0,9,0,6
268,5,9,2,0.5063069,2,2,1,1,0.5,7.0,2,0,4
268,5,9,3,0.5918764,2,2,1,1,0.5,7.0,7,0,4
268,5,9,1,0.578476,0,0,1,2,0.8,8.0,3,0,7
268,5,9,4,0.5333204,2,2,1,2,0.2,6.0,7,0,3
268,5,9,4,0.5061378,2,2,1,1,0.2,7.0,1,0,4
268,5,9,3,0.5278488,2,2,1,1,0.5,8.0,4,0,5
268,5,9,0,0.7886099,0,0,1,1,0.2,8.0,9,0,7
268,5,9,2,0.4951787,2,2,1,2,0.5,8.0,7,0,5
268,5,9,0,0.6777776,0,0,1,2,0.2,9.0,2,1,8
268,5,9,1,0.5969881,0,0,1,2,0.8,9.0,7,1,8
268,5,9,2,0.5028182,2,2,1,1,0.5,9.0,3,1,6
268,5,9,4,0.4933833,2,2,1,1,0.2,8.0,7,0,5
268,5,9,4,0.5143702,2,2,1,1,0.2,9.0,1,1,6
268,5,9,3,0.5679955,2,2,1,1,0.5,9.0,8,1,6
268,5,9,1,0.5877417,0,0,1,2,0.8,10.0,5,1,9
268,5,9,2,0.5741081,2,2,1,1,0.5,10.0,5,1,7
268,5,9,0,0.5611172,0,0,1,1,0.2,10.0,8,1,9
268,5,9,4,0.5644994,2,2,1,1,0.2,10.0,5,1,7
268,5,9,3,0.5042777,2,2,1,2,0.5,10.0,5,1,7
